brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,desc
Ford,F-150 Raptor,2021,"32,957 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Black,None reported,,"$77,900 ","Ford F-150 Raptor 2021, Oxford White exterior, Black interior, 32,957 mi., 3.5L V6 24V PDI DOHC Twin Turbo, 10-Speed Automatic, Gasoline, None reported"
Acura,TLX Base,2016,"45,000 mi.",Gasoline,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Blue,None reported,Yes,"$16,500 ","Acura TLX Base 2016, Gray exterior, Blue interior, 45,000 mi., 206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Nissan,Frontier SV,2013,"67,000 mi.",Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Gray,None reported,Yes,"$15,500 ","Nissan Frontier SV 2013, Blue exterior, Gray interior, 67,000 mi., 261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel, 5-Speed A/T, Gasoline, None reported"
Chevrolet,Camaro 1SS,2021,"12,600 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,"$47,000 ","Chevrolet Camaro 1SS 2021, Gray exterior, Black interior, 12,600 mi., 455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Porsche,Panamera 4,2018,"24,882 mi.",Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$59,800 ","Porsche Panamera 4 2018, White exterior, Black interior, 24,882 mi., 330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Acura,TLX PMC Edition,2020,"6,900 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,None reported,Yes,"$43,500 ","Acura TLX PMC Edition 2020, Red exterior, Black interior, 6,900 mi., 290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 9-Speed A/T, Gasoline, None reported"
Kia,Sorento EX V6,2019,"66,075 mi.",Gasoline,3.3L V6 24V GDI DOHC,8-Speed Automatic,Titanium Silver,Satin Black,None reported,,"$23,754 ","Kia Sorento EX V6 2019, Titanium Silver exterior, Satin Black interior, 66,075 mi., 3.3L V6 24V GDI DOHC, 8-Speed Automatic, Gasoline, None reported"
Hyundai,Palisade SEL,2021,"68,050 mi.",Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$29,600 ","Hyundai Palisade SEL 2021, Black exterior, Black interior, 68,050 mi., 291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Ford,F-250 Lariat,2017,"128,000 mi.",Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Black,None reported,Yes,"$50,000 ","Ford F-250 Lariat 2017, Gray exterior, Black interior, 128,000 mi., 440.0HP 6.7L 8 Cylinder Engine Diesel Fuel, 6-Speed A/T, Diesel, None reported"
BMW,430 i,2021,"9,472 mi.",Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Blue,None reported,Yes,"$51,000 ","BMW 430 i 2021, White exterior, Blue interior, 9,472 mi., 255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Mitsubishi,Lancer GTS,2009,"185,963 mi.",Gasoline,168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Orange,Gray,At least 1 accident or damage reported,Yes,"$5,100 ","Mitsubishi Lancer GTS 2009, Orange exterior, Gray interior, 185,963 mi., 168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel, CVT Transmission, Gasoline, At least 1 accident or damage reported"
Nissan,NV200 S,2019,"52,000 mi.",Gasoline,131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Gray,At least 1 accident or damage reported,Yes,"$19,500 ","Nissan NV200 S 2019, Black exterior, Gray interior, 52,000 mi., 131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, CVT Transmission, Gasoline, At least 1 accident or damage reported"
Buick,Enclave Leather,2015,"68,653 mi.",Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,"$18,950 ","Buick Enclave Leather 2015, Blue exterior, Black interior, 68,653 mi., 288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, At least 1 accident or damage reported"
Lexus,RX 330 Base,2004,"151,896 mi.",Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,"$7,900 ","Lexus RX 330 Base 2004, Silver exterior, Gray interior, 151,896 mi., 230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Lexus,RX 450h F Sport,2019,"43,671 mi.",Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,Caviar,Rioja Red,None reported,,"$44,950 ","Lexus RX 450h F Sport 2019, Caviar exterior, Rioja Red interior, 43,671 mi., 3.5L V6 24V PDI DOHC Hybrid, Automatic CVT, Hybrid, None reported"
Ford,F-250 Lariat,2017,"72,128 mi.",E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,6-Speed Automatic,White,Camel,,,"$45,985 ","Ford F-250 Lariat 2017, White exterior, Camel interior, 72,128 mi., 6.2L V8 16V MPFI SOHC Flexible Fuel, 6-Speed Automatic, E85 Flex Fuel, nan"
Kia,Forte Koup EX,2013,"134,207 mi.",Gasoline,156.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,–,At least 1 accident or damage reported,Yes,"$5,500 ","Kia Forte Koup EX 2013, Black exterior, – interior, 134,207 mi., 156.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
GMC,Terrain SLE,2020,"26,470 mi.",Gasoline,1.5L I4 16V GDI DOHC Turbo,9-Speed Automatic,Summit White,Jet Black,None reported,Yes,"$29,900 ","GMC Terrain SLE 2020, Summit White exterior, Jet Black interior, 26,470 mi., 1.5L I4 16V GDI DOHC Turbo, 9-Speed Automatic, Gasoline, None reported"
Porsche,Macan Base,2018,"82,300 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$35,000 ","Porsche Macan Base 2018, Black exterior, Black interior, 82,300 mi., 252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 7-Speed A/T, Gasoline, None reported"
Lexus,RC 350 Base,2015,"124,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Blue,None reported,Yes,"$24,000 ","Lexus RC 350 Base 2015, Blue exterior, Blue interior, 124,000 mi., 306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Audi,S4 3.0T Premium Plus,2020,"23,823 mi.",Gasoline,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,Tango Red Metallic,Black,None reported,Yes,"$49,995 ","Audi S4 3.0T Premium Plus 2020, Tango Red Metallic exterior, Black interior, 23,823 mi., 3.0L V6 24V GDI DOHC Turbo, 8-Speed Automatic, Gasoline, None reported"
GMC,Yukon SLT,2002,"222,600 mi.",Gasoline,275.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Beige,None reported,Yes,"$4,999 ","GMC Yukon SLT 2002, Gray exterior, Beige interior, 222,600 mi., 275.0HP 4.8L 8 Cylinder Engine Gasoline Fuel, 4-Speed A/T, Gasoline, None reported"
Lamborghini,Urus Base,2021,"9,500 mi.",Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$279,900 ","Lamborghini Urus Base 2021, White exterior, Black interior, 9,500 mi., 641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
INFINITI,QX60 Base,2014,"154,247 mi.",Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$12,500 ","INFINITI QX60 Base 2014, Black exterior, Black interior, 154,247 mi., 265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Chevrolet,Silverado 2500 LTZ H/D Extended Cab,2008,"128,000 mi.",Gasoline,353.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,Black,None reported,Yes,"$23,500 ","Chevrolet Silverado 2500 LTZ H/D Extended Cab 2008, Beige exterior, Black interior, 128,000 mi., 353.0HP 6.0L 8 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
Maserati,GranTurismo Base,2008,"70,000 mi.",Gasoline,405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,At least 1 accident or damage reported,Yes,"$13,000 ","Maserati GranTurismo Base 2008, Blue exterior, Brown interior, 70,000 mi., 405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Acura,Integra GS-R,1995,"123,000 mi.",–,–,5-Speed M/T,White,Blue,None reported,Yes,"$10,999 ","Acura Integra GS-R 1995, White exterior, Blue interior, 123,000 mi., –, 5-Speed M/T, –, None reported"
BMW,X6 M Base,2016,"52,375 mi.",Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,"$48,600 ","BMW X6 M Base 2016, White exterior, Brown interior, 52,375 mi., 567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, At least 1 accident or damage reported"
Chrysler,300 S,2016,"100,574 mi.",Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$17,500 ","Chrysler 300 S 2016, Black exterior, Black interior, 100,574 mi., 300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, At least 1 accident or damage reported"
Chrysler,300 Base,2014,"85,000 mi.",Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,–,At least 1 accident or damage reported,Yes,"$11,250 ","Chrysler 300 Base 2014, White exterior, – interior, 85,000 mi., 292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, At least 1 accident or damage reported"
Acura,RDX w/A-Spec Package,2023,"3,959 mi.",Gasoline,2.0 Liter DOHC Turbo,Automatic,White,Black,None reported,,"$48,998 ","Acura RDX w/A-Spec Package 2023, White exterior, Black interior, 3,959 mi., 2.0 Liter DOHC Turbo, Automatic, Gasoline, None reported"
Chevrolet,Corvette Stingray w/1LT,2021,"10,400 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$72,900 ","Chevrolet Corvette Stingray w/1LT 2021, Silver exterior, Black interior, 10,400 mi., 490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Chevrolet,Camaro 1SS,2019,"19,200 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,Yes,"$41,500 ","Chevrolet Camaro 1SS 2019, Orange exterior, Black interior, 19,200 mi., 455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Mercedes-Benz,E-Class E 350 4MATIC,2013,"81,000 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,"$13,000 ","Mercedes-Benz E-Class E 350 4MATIC 2013, Gray exterior, Beige interior, 81,000 mi., 302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Ford,F-150 Raptor,2022,"17,451 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Rhapsody Blue,None reported,,"$77,900 ","Ford F-150 Raptor 2022, Oxford White exterior, Rhapsody Blue interior, 17,451 mi., 3.5L V6 24V PDI DOHC Twin Turbo, 10-Speed Automatic, Gasoline, None reported"
Nissan,Versa 1.8 S,2011,"165,000 mi.",Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Black,–,None reported,Yes,"$4,000 ","Nissan Versa 1.8 S 2011, Black exterior, – interior, 165,000 mi., 122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
BMW,M3 CS,2024,124 mi.,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Green,Black,None reported,Yes,"$145,000 ","BMW M3 CS 2024, Green exterior, Black interior, 124 mi., 543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Hyundai,Accent GLS,2013,"117,500 mi.",Gasoline,138.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$6,500 ","Hyundai Accent GLS 2013, Silver exterior, Gray interior, 117,500 mi., 138.0HP 1.6L 4 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, At least 1 accident or damage reported"
Mercedes-Benz,S-Class S 450 4MATIC,2018,"72,500 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$60,000 ","Mercedes-Benz S-Class S 450 4MATIC 2018, Black exterior, Black interior, 72,500 mi., 362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Porsche,911 GT3,2023,265 mi.,Gasoline,4.0L H6 24V GDI DOHC,6-Speed Manual,Black,Gray,None reported,Yes,"$279,950 ","Porsche 911 GT3 2023, Black exterior, Gray interior, 265 mi., 4.0L H6 24V GDI DOHC, 6-Speed Manual, Gasoline, None reported"
Mercedes-Benz,AMG GT 63 S 4-Door,2020,"21,214 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Obsidian Black Metallic,Black,None reported,,"$117,900 ","Mercedes-Benz AMG GT 63 S 4-Door 2020, Obsidian Black Metallic exterior, Black interior, 21,214 mi., 4.0L V8 32V GDI DOHC Twin Turbo, 9-Speed Automatic, Gasoline, None reported"
Audi,Q5 3.0 TDI Premium Plus,2014,"55,564 mi.",Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$22,500 ","Audi Q5 3.0 TDI Premium Plus 2014, Black exterior, Black interior, 55,564 mi., 240.0HP 3.0L V6 Cylinder Engine Diesel Fuel, 8-Speed A/T, Diesel, At least 1 accident or damage reported"
Cadillac,LYRIQ Luxury,2023,"1,090 mi.",,500.0HP Electric Motor Electric Fuel System,A/T,Gray,Silver,None reported,Yes,"$68,750 ","Cadillac LYRIQ Luxury 2023, Gray exterior, Silver interior, 1,090 mi., 500.0HP Electric Motor Electric Fuel System, A/T, nan, None reported"
Volvo,XC60 T5 R-Design,2019,"43,500 mi.",Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,"$30,000 ","Volvo XC60 T5 R-Design 2019, Gray exterior, Black interior, 43,500 mi., 250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Mercedes-Benz,AMG GT 53 Base,2019,"35,000 mi.",Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$83,000 ","Mercedes-Benz AMG GT 53 Base 2019, Black exterior, Black interior, 35,000 mi., 429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid, Transmission w/Dual Shift Mode, Hybrid, None reported"
GMC,Yukon SLT,2017,"92,031 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,"$30,000 ","GMC Yukon SLT 2017, White exterior, Beige interior, 92,031 mi., 355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Lexus,GS 350 Base,2016,"128,032 mi.",Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"$18,000 ","Lexus GS 350 Base 2016, Silver exterior, Black interior, 128,032 mi., 311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Jaguar,XF 25t Premium,2018,"18,800 mi.",Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,"$26,000 ","Jaguar XF 25t Premium 2018, White exterior, White interior, 18,800 mi., 247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
BMW,M8 Gran Coupe Competition,2023,"2,900 mi.",Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Gray,None reported,Yes,"$117,500 ","BMW M8 Gran Coupe Competition 2023, Green exterior, Gray interior, 2,900 mi., 617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Honda,Ridgeline Black Edition,2017,"91,600 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$26,000 ","Honda Ridgeline Black Edition 2017, Black exterior, Black interior, 91,600 mi., 280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
Toyota,4Runner SR5,2019,"91,843 mi.",Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,"$30,500 ","Toyota 4Runner SR5 2019, Blue exterior, Black interior, 91,843 mi., 270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel, 5-Speed A/T, Gasoline, At least 1 accident or damage reported"
Ford,Bronco Sport Outer Banks,2021,"28,105 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Kodiak Brown Metallic,Ebony,,,"$32,455 ","Ford Bronco Sport Outer Banks 2021, Kodiak Brown Metallic exterior, Ebony interior, 28,105 mi., 1.5L I3 12V PDI DOHC Turbo, 8-Speed Automatic, Gasoline, nan"
Dodge,Charger R/T 392,2017,"73,350 mi.",Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,Yes,"$37,000 ","Dodge Charger R/T 392 2017, Gray exterior, Red interior, 73,350 mi., 485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Mercedes-Benz,GLC 300 GLC 300,2022,"11,875 mi.",Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,,"$41,598 ","Mercedes-Benz GLC 300 GLC 300 2022, Black exterior, Black interior, 11,875 mi., 2.0 Liter Turbo, Automatic, Gasoline, None reported"
Tesla,Model S P100D,2018,"47,000 mi.",,518.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,"$49,900 ","Tesla Model S P100D 2018, Black exterior, Black interior, 47,000 mi., 518.0HP Electric Motor Electric Fuel System, A/T, nan, None reported"
INFINITI,Q50 3.0t Signature Edition,2017,"67,000 mi.",Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$23,000 ","INFINITI Q50 3.0t Signature Edition 2017, Black exterior, Black interior, 67,000 mi., 300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
BMW,340 i,2016,"117,660 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$19,500 ","BMW 340 i 2016, White exterior, Black interior, 117,660 mi., 320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, At least 1 accident or damage reported"
Pontiac,Firebird Trans Am,2001,"71,448 mi.",Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,None reported,Yes,"$10,500 ","Pontiac Firebird Trans Am 2001, Gray exterior, Black interior, 71,448 mi., 200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel, 4-Speed A/T, Gasoline, None reported"
Nissan,NV Passenger NV3500 HD SV V8,2015,"86,000 mi.",Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,"$29,500 ","Nissan NV Passenger NV3500 HD SV V8 2015, Silver exterior, Gray interior, 86,000 mi., 317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Lexus,ES 350 Base,2020,"15,324 mi.",Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,Black,At least 1 accident or damage reported,,"$33,364 ","Lexus ES 350 Base 2020, Black exterior, Black interior, 15,324 mi., 3.5L V6 24V PDI DOHC, 8-Speed Automatic, Gasoline, At least 1 accident or damage reported"
BMW,135 is,2013,"29,400 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,None reported,Yes,"$29,000 ","BMW 135 is 2013, White exterior, Beige interior, 29,400 mi., 320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Lexus,IS 300 Base,2017,"68,871 mi.",Gasoline,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Red,None reported,Yes,"$28,450 ","Lexus IS 300 Base 2017, Silver exterior, Red interior, 68,871 mi., 255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, None reported"
Porsche,Cayenne S,2012,"126,000 mi.",Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,None reported,Yes,"$17,999 ","Porsche Cayenne S 2012, Silver exterior, Gray interior, 126,000 mi., 400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Pontiac,Solstice GXP,2007,"25,718 mi.",Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Yellow,Black,None reported,Yes,"$17,900 ","Pontiac Solstice GXP 2007, Yellow exterior, Black interior, 25,718 mi., 260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, M/T, Gasoline, None reported"
Porsche,Panamera Turbo,2015,"67,210 mi.",Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,At least 1 accident or damage reported,Yes,"$51,950 ","Porsche Panamera Turbo 2015, Blue exterior, Beige interior, 67,210 mi., 520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, At least 1 accident or damage reported"
BMW,X6 xDrive35i,2018,"27,214 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$40,950 ","BMW X6 xDrive35i 2018, Black exterior, Black interior, 27,214 mi., 300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, At least 1 accident or damage reported"
Ford,F-150 Limited,2019,"42,728 mi.",Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,"$45,950 ","Ford F-150 Limited 2019, Black exterior, Brown interior, 42,728 mi., 450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
MINI,Cooper S Base,2010,"97,395 mi.",Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,"$6,699 ","MINI Cooper S Base 2010, Yellow exterior, Black interior, 97,395 mi., 172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Mazda,Mazda3 i SV,2015,"91,700 mi.",Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,"$12,000 ","Mazda Mazda3 i SV 2015, Red exterior, Black interior, 91,700 mi., 155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Mitsubishi,Lancer Evolution MR,2011,"94,500 mi.",Gasoline,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$27,000 ","Mitsubishi Lancer Evolution MR 2011, White exterior, Black interior, 94,500 mi., 291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Chevrolet,Tahoe LTZ,2014,"196,300 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,"$10,995 ","Chevrolet Tahoe LTZ 2014, Black exterior, Black interior, 196,300 mi., 320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability, 6-Speed A/T, E85 Flex Fuel, None reported"
Cadillac,CTS 3.6L Luxury,2015,"54,259 mi.",Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Majestic Plum Metallic,Light Platinum / Jet Black,None reported,Yes,"$19,425 ","Cadillac CTS 3.6L Luxury 2015, Majestic Plum Metallic exterior, Light Platinum / Jet Black interior, 54,259 mi., 3.6L V6 24V GDI DOHC, 8-Speed Automatic, Gasoline, None reported"
Acura,RDX w/Advance Package,2021,"36,267 mi.",Gasoline,2.0 Liter Turbo,Automatic,White,Parchment,None reported,,"$39,798 ","Acura RDX w/Advance Package 2021, White exterior, Parchment interior, 36,267 mi., 2.0 Liter Turbo, Automatic, Gasoline, None reported"
Land,Rover Range Rover Sport Supercharged HSE,2015,"175,000 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$19,500 ","Land Rover Range Rover Sport Supercharged HSE 2015, Black exterior, Black interior, 175,000 mi., 340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Chevrolet,Suburban 1500 LTZ,2015,"159,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,"$26,900 ","Chevrolet Suburban 1500 LTZ 2015, White exterior, Beige interior, 159,000 mi., 355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, At least 1 accident or damage reported"
